date,AXS Price,AXS Mk Cap,SLP Price,SLP Mk Cap,ETH Price,ETH Mk Cap,SPS Price,SPS Mk Cap,TLM Price,TLM Mk Cap,MANA Price,MANA Mk Cap,ATLAS Price,ATLAS Mk Cap,SAND Price,SAND Mk Cap,ILV Price,ILV Mk Cap,AXS Circ. Supply per CoinGecko
2021-08-11,63.742255981825686,3499956640.9382253,0.20346341159925904,189459182.73210162,3147.842995401753,368146417310.3951,0.28725502695964883,,0.31210599642182996,383343804.1715208,0.83250657853509,1100349925.2561593,,,0.6828322409799175,478385789.50474787,375.6949978120493,238585282.56919262,54907950.574202135
2021-08-12,66.42306289496268,3661211706.448805,0.20243835883429034,197384728.6283752,3166.6472179679286,371120421692.36896,0.33092791319737574,,0.2879131846361592,357204045.9519338,0.8241457670593474,1091899838.2098877,,,0.6757034685610082,474301216.9229346,442.1639148125703,282928090.28771186,55119585.68123271
2021-08-13,65.97253745715219,3639154230.9787126,0.1902752567102991,190683019.21896896,3048.4126816864195,356667351344.9034,0.30494411392209403,,0.2708950928503679,336396904.8723505,0.8010336789912629,1061535114.4030532,,,0.6380010302755973,562694702.1119517,450.5262726436131,286527371.6558062,55161653.18549812
2021-08-14,70.72644849999892,4049955344.2237554,0.19141355063401957,197042095.21279046,3323.19799054098,387650495386.42346,0.3186547868269371,,0.29304899905335335,362268731.6140423,0.839407801614989,1111980519.6015563,,,0.6616488200250257,583170415.545898,529.0326206280482,332608480.2630769,57262246.72830585
2021-08-15,67.77121938001024,3891317732.299853,0.18009313928286075,194611456.25331149,3268.5481770314927,383333523376.4307,0.40594416541183126,,0.28951822464110766,359464865.4608487,0.8391406128055438,1117325664.2923586,,,0.6370138281254663,562859999.6734428,531.7448128274322,337828402.3253862,57418440.56959131
2021-08-16,67.07207210418767,3847329471.401912,0.17657522222976751,207435786.3926747,3309.7549104132368,387075388591.617,0.45763430597287413,,0.32105079883558285,398321463.8161311,0.8654310865478216,1146057258.9812405,,,0.6450740511466916,568183386.683404,519.334662735972,328578104.71889675,57361124.39504762
2021-08-17,66.69977378654526,3840607459.7458153,0.17319271926744156,215145468.22665107,3153.583683763619,369733082268.3038,0.430754202784476,,0.2996907174398932,374907117.98117083,0.8511079378817583,1145206260.296195,,,0.6353268936693467,567028907.1049798,435.48722759708903,292438246.86300695,57580517.01999244
2021-08-18,71.26725905427551,4108885121.930276,0.16066534735847923,206277144.4475928,3007.1440271712713,354390048289.18036,0.3500505727883841,,0.2764192065697564,343776725.5290066,0.7973677141610522,1066352764.3410095,,,0.6099477464527359,538644744.0556878,404.2003041541083,256585083.81434807,57654597.306752644
2021-08-19,69.83477531314794,4018498812.238128,0.1583251971004791,205215476.977728,3037.230251196439,357527359807.9584,0.31575021095695277,,0.26202889819139985,331513235.9130582,0.7867530869387422,1047397890.1148572,,,0.5879503029102154,520737241.8217083,440.617142387175,280343309.16032326,57542947.538939916
2021-08-20,71.80054013985266,4079590021.1654305,0.1754765918237559,223932478.7746843,3144.8184367851927,360685430760.7975,0.36950154944477187,,0.2726697317565113,327275500.0876985,0.8100053428231188,1054390579.3555804,,,0.5943639725226864,516561635.1468444,440.386622401451,276115494.3330274,56818375.08769753
