Date Raw;Date Parsed;Breeding ETH;Breeding USD;Breeding AXS;Marketplace ETH;Marketplace USD
1611619200000;01/26/2021;0;0;0;2.8700049629473656;3798.5264950000037
1611705600000;01/27/2021;0;0;0;3.7252095252035766;4956.980147500005
1611792000000;01/28/2021;0;0;0;4.648872235304466;6114.601310000005
1611878400000;01/29/2021;0;0;0;5.04839193169196;6646.133510000004
1611964800000;01/30/2021;0;0;0;9.814443582611045;13224.649392500009
1612051200000;01/31/2021;0;0;0;10.454169996725215;14102.342137500009
1612137600000;02/01/2021;0;0;0;11.328403983086229;15253.20597000001
1612224000000;02/02/2021;0;0;0;11.677742520312448;15731.40874500001
1612310400000;02/03/2021;0;0;0;12.01605090694454;16243.76579500001
1612396800000;02/04/2021;0;0;0;12.230247369114679;16599.54617250001
1612483200000;02/05/2021;0;0;0;12.736685730820481;17411.27942750001
1612569600000;02/06/2021;0;0;0;14.79003050708541;20952.98165250001
1612656000000;02/07/2021;0;0;0;15.573497245549664;22272.30962000001
1612742400000;02/08/2021;0;0;0;53.964379770719006;89403.51743750002
1612828800000;02/09/2021;0;0;0;54.85930901682933;90970.50650500003
1612915200000;02/10/2021;0;0;0;55.81668803493499;92664.51511000002
1613001600000;02/11/2021;0;0;0;57.498339301631546;95593.25670750003
1613088000000;02/12/2021;0;0;0;58.08146524156105;96632.83781750003
1613174400000;02/13/2021;0;0;0;58.85730920349913;98061.42470000003
1613260800000;02/14/2021;0;0;0;61.500158391755406;102847.38225500003
1613347200000;02/15/2021;0;0;0;63.148968527178326;105823.47731000003
1613433600000;02/16/2021;0;0;0;65.28073750952639;109608.98010500004
1613520000000;02/17/2021;0;0;0;68.61362133716943;115549.74477000003
1613606400000;02/18/2021;0;0;0;74.54601759599717;126498.97637750003
1613692800000;02/19/2021;0;0;0;76.14077489663114;129590.03788500003
1613779200000;02/20/2021;0;0;0;79.29285329375845;135799.47059250003
1613865600000;02/21/2021;0;0;0;88.01762271320605;152632.43067500004
1613952000000;02/22/2021;0;0;0;91.52587536843468;159431.34934750004
1614038400000;02/23/2021;0;0;0;94.40433232498094;164579.74103750003
1614124800000;02/24/2021;0;0;0;102.11990172081843;176644.78082000004
1614211200000;02/25/2021;0;0;0;110.44924117482456;190213.23392000006
1614297600000;02/26/2021;0;0;0;120.2054203789473;204543.69621000005
1614384000000;02/27/2021;0;0;0;124.90636957922142;211364.72045000005
1614470400000;02/28/2021;0;0;0;128.0224287483036;215976.89168000006
1614556800000;03/01/2021;0;0;0;130.82238226466356;219943.47847500007
1614643200000;03/02/2021;0;0;0;133.6897755454321;224446.43278000006
1614729600000;03/03/2021;0;0;0;138.3462093668886;231417.65690750006
1614816000000;03/04/2021;0;0;0;148.79888385514812;247925.90925500004
1614902400000;03/05/2021;0;0;0;159.56529880693495;264574.49243750004
1614988800000;03/06/2021;0;0;0;167.4696330030784;276740.04871500004
1615075200000;03/07/2021;0;0;0;176.34299672885214;291486.94071000005
1615161600000;03/08/2021;0;0;0;193.86712012451082;321759.21700500004
1615248000000;03/09/2021;0;0;0;213.56404547502348;357952.10404000006
1615334400000;03/10/2021;0;0;0;219.43290882005957;368923.41342000006
1615420800000;03/11/2021;0;0;0;233.4350515898937;394154.0090225001
1615507200000;03/12/2021;0;0;0;240.62355439738613;407277.0608050001
1615593600000;03/13/2021;0;0;0;248.48273252562896;421191.6089575001
1615680000000;03/14/2021;0;0;0;256.71823670493444;437067.3461300001
1615766400000;03/15/2021;0;0;0;262.69333984046654;448218.32073250005
1615852800000;03/16/2021;0;0;0;270.1775416292317;461617.98376500007
1615939200000;03/17/2021;0;0;0;277.2163874513798;474340.0275625001
1616025600000;03/18/2021;0;0;0;283.54140493385876;485907.1699000001
1616112000000;03/19/2021;0;0;0;291.833559023166;500660.2416075001
1616198400000;03/20/2021;0;0;0;300.3857000172498;516201.96758250013
1616284800000;03/21/2021;0;0;0;311.063387107009;535610.7718300001
1616371200000;03/22/2021;0;0;0;316.7380504160955;545769.6998725001
1616457600000;03/23/2021;0;0;0;322.82601932247013;556039.3172525002
1616544000000;03/24/2021;0;0;0;329.30852089480277;566888.4334375001
1616630400000;03/25/2021;0;0;0;336.3475357230245;578081.2059400001
1616716800000;03/26/2021;0;0;0;342.82044202592544;588371.3531575002
1616803200000;03/27/2021;0;0;0;348.7407947337342;598438.7818875002
1616889600000;03/28/2021;0;0;0;354.21803194202704;607825.1658400001
1616976000000;03/29/2021;0;0;0;358.8947247748313;615722.9181875001
1617062400000;03/30/2021;0;0;0;362.7666936341239;622759.9751125001
1617148800000;03/31/2021;0;0;0;366.3386610590574;629334.1779675002
1617235200000;04/01/2021;0;0;0;370.28087063548924;636891.7927425002
1617321600000;04/02/2021;0;0;0;373.91855588395845;644057.3966550002
1617408000000;04/03/2021;0;0;0;378.67679889287894;654209.7548350001
1617494400000;04/04/2021;0;0;0;382.7095030929797;662341.3070775002
1617580800000;04/05/2021;0;0;0;387.08989537093737;671441.2422200001
1617667200000;04/06/2021;0;0;0;390.7218695548809;679067.1761700001
1617753600000;04/07/2021;0;0;0;394.1243313787292;686260.9214150001
1617840000000;04/08/2021;0;0;0;399.18940963797326;696335.6213850001
1617926400000;04/09/2021;0;0;0;404.59026566144615;707579.0434750001
1618012800000;04/10/2021;0;0;0;411.1432662320823;721141.8164075001
1618099200000;04/11/2021;0;0;0;416.7171287892012;733084.6220675
1618185600000;04/12/2021;0;0;0;419.9530351239747;740041.6971375
1618272000000;04/13/2021;0;0;0;423.529319846688;747711.5151000001
1618358400000;04/14/2021;0;0;0;427.5128959863016;756885.1105625001
1618444800000;04/15/2021;0;0;0;430.91228488855864;765144.11869
1618531200000;04/16/2021;0;0;0;434.18814256379466;773383.7982425
1618617600000;04/17/2021;0;0;0;437.1218405698713;780507.7063825
1618704000000;04/18/2021;0;0;0;439.2202357790067;785423.3873675
1618790400000;04/19/2021;0;0;0;441.94674304320716;791545.7523225
1618876800000;04/20/2021;0;0;0;443.72798669149034;795405.18119
1618963200000;04/21/2021;0;0;0;446.0120233906149;800715.1664225
